total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index,log_total_cases,log_total_deaths,log_population_density,log_reproduction_rate,iso_code,continent,location,date,hdi_category,stringency_category,aged_65_older_category,density_category,new_deaths_log,new_cases_log
28320.0,3058.0,1735.714,1736.0,204.0,131.0,133.233,14.387,8.166,8.167,0.96,0.616,1.54,74.54,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,4.452093249017731,3.239549720840473,1.398634324538392,0.18752072083646307,BRA,South America,Brazil,1586908800000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.3096301674258988,3.485437481076301
33682.0,3257.0,2006.286,2141.0,217.0,154.857,158.459,15.323,9.439,10.072000000000001,1.021,0.7290000000000001,1.52,74.54,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,4.527397871520467,3.3306166672944384,1.398634324538392,0.18184358794477254,BRA,South America,Brazil,1587081600000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.3364597338485296,3.512817758564873
36658.0,2976.0,2275.857,2354.0,213.0,175.71400000000003,172.46,14.001,10.707,11.075,1.002,0.8270000000000001,1.52,74.54,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,4.564168766882124,3.371806458507416,1.398634324538392,0.18184358794477254,BRA,South America,Brazil,1587168000000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.3283796034387376,3.473632926873841
50036.0,4279.0,2801.571,3331.0,425.0,201.0,235.398,20.131,13.18,15.671,1.999,0.946,1.49,74.54,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,4.699282583847864,3.522574632691177,1.398634324538392,0.17318626841227402,BRA,South America,Brazil,1587600000000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.6283889300503116,3.6313422864839326
54043.0,4007.0,2908.7140000000004,3704.0,373.0,223.28599999999997,254.24900000000002,18.851,13.684000000000001,17.426,1.755,1.05,1.5,74.54,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,4.732739449293047,3.5686709780098966,1.398634324538392,0.17609125905568124,BRA,South America,Brazil,1587686400000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.571708831808688,3.6028193424326997
59324.0,5281.0,3238.0,4057.0,353.0,243.28599999999997,279.094,24.845,15.232999999999999,19.086,1.661,1.145,1.51,74.54,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,4.773230426229583,3.608205007704326,1.398634324538392,0.17897694729316943,BRA,South America,Brazil,1587772800000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.5477747053878224,3.7227161674884948
63100.0,3776.0,3492.2859999999996,4286.0,229.0,260.57099999999997,296.858,17.764,16.43,20.164,1.077,1.226,1.51,77.31,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,4.800029359244134,3.63205216670581,1.398634324538392,0.17897694729316943,BRA,South America,Brazil,1587859200000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.359835482339888,3.5770319856260313
67446.0,4346.0,3814.7140000000004,4603.0,317.0,288.0,317.30400000000003,20.445999999999998,17.947,21.655,1.4909999999999999,1.355,1.5,77.31,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,4.828956198197104,3.663040974893974,1.398634324538392,0.17609125905568124,BRA,South America,Brazil,1587945600000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.5010592622177517,3.638089721984506
73235.0,5789.0,4308.0,5083.0,480.0,334.57099999999997,344.539,27.235,20.267,23.913,2.258,1.574,1.49,77.31,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,4.864718685895433,3.7061201097027037,1.398634324538392,0.17318626841227402,BRA,South America,Brazil,1588032000000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.681241237375587,3.7626035495668035
79685.0,6450.0,4846.857,5513.0,430.0,372.42900000000003,374.88300000000004,30.344,22.802,25.936,2.023,1.7519999999999998,1.47,77.31,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,4.901376576975398,3.741387992479269,1.398634324538392,0.16731733474817606,BRA,South America,Brazil,1588118400000000000,Em Desenvolvimento,Alta_estringencia,População com muitos velhos,Pouco Povoado,2.6334684555795866,3.8095597146352675
