,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,hdi_category,stringency_category,aged_65_older_category,density_category
12969,BRA,South America,Brazil,2020-02-26,1.0,1.0,38344.5,164737.0,921.0,976.429,0.005,0.005,180.3945,775.0160000000001,4.333,4.593999999999999,1.03,5.56,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,10.1,2.2,75.88,0.765,Em Desenvolvimento,Nenhuma_estringencia,População com muitos velhos,Pouco Povoado
12970,BRA,South America,Brazil,2020-02-27,1.0,0.0,38344.5,164737.0,921.0,976.429,0.005,0.0,180.3945,775.0160000000001,4.333,4.593999999999999,1.03,5.56,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,10.1,2.2,75.88,0.765,Em Desenvolvimento,Nenhuma_estringencia,População com muitos velhos,Pouco Povoado
12971,BRA,South America,Brazil,2020-02-28,1.0,0.0,38344.5,164737.0,921.0,976.429,0.005,0.0,180.3945,775.0160000000001,4.333,4.593999999999999,1.03,5.56,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,10.1,2.2,75.88,0.765,Em Desenvolvimento,Nenhuma_estringencia,População com muitos velhos,Pouco Povoado
12972,BRA,South America,Brazil,2020-02-29,2.0,1.0,38344.5,164737.0,921.0,976.429,0.009000000000000001,0.005,180.3945,775.0160000000001,4.333,4.593999999999999,1.03,5.56,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,10.1,2.2,75.88,0.765,Em Desenvolvimento,Nenhuma_estringencia,População com muitos velhos,Pouco Povoado
12973,BRA,South America,Brazil,2020-03-01,2.0,0.0,38344.5,164737.0,921.0,976.429,0.009000000000000001,0.0,180.3945,775.0160000000001,4.333,4.593999999999999,1.03,5.56,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,10.1,2.2,75.88,0.765,Em Desenvolvimento,Nenhuma_estringencia,População com muitos velhos,Pouco Povoado
12974,BRA,South America,Brazil,2020-03-02,2.0,0.0,0.28600000000000003,164737.0,921.0,0.0,0.009000000000000001,0.0,0.001,775.0160000000001,4.333,0.0,1.03,11.11,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,10.1,2.2,75.88,0.765,Em Desenvolvimento,Nenhuma_estringencia,População com muitos velhos,Pouco Povoado
12975,BRA,South America,Brazil,2020-03-03,2.0,0.0,0.28600000000000003,164737.0,921.0,0.0,0.009000000000000001,0.0,0.001,775.0160000000001,4.333,0.0,1.03,11.11,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,10.1,2.2,75.88,0.765,Em Desenvolvimento,Nenhuma_estringencia,População com muitos velhos,Pouco Povoado
12976,BRA,South America,Brazil,2020-03-04,4.0,2.0,0.429,164737.0,921.0,0.0,0.019,0.009000000000000001,0.002,775.0160000000001,4.333,0.0,1.03,11.11,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,10.1,2.2,75.88,0.765,Em Desenvolvimento,Nenhuma_estringencia,População com muitos velhos,Pouco Povoado
12977,BRA,South America,Brazil,2020-03-05,4.0,0.0,0.429,164737.0,921.0,0.0,0.019,0.0,0.002,775.0160000000001,4.333,0.0,1.03,11.11,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,10.1,2.2,75.88,0.765,Em Desenvolvimento,Nenhuma_estringencia,População com muitos velhos,Pouco Povoado
12978,BRA,South America,Brazil,2020-03-06,13.0,9.0,1.714,164737.0,921.0,0.0,0.061,0.042,0.008,775.0160000000001,4.333,0.0,1.03,11.11,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,10.1,2.2,75.88,0.765,Em Desenvolvimento,Nenhuma_estringencia,População com muitos velhos,Pouco Povoado
